manufacturer,model,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage_int,mileage,engine_cc,max_power_bhp,torque,seats
Maruti,Swift Dzire,Maruti Swift Dzire,2012,450000,30000,Petrol,Individual,Manual,First Owner,18,17.5 kmpl,1197,86,114Nm@ 4000rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2014,450000,30000,Petrol,Individual,Manual,First Owner,19,19.1 kmpl,1197,86,114Nm@ 4000rpm,5
Chevrolet,Beat,Chevrolet Beat,2015,200000,50000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1199,77,106.5Nm@ 4400rpm,5
Tata,Tiago Revotorq,Tata Tiago Revotorq,2017,425000,42000,Petrol,Individual,Manual,First Owner,24,23.84 kmpl,1199,84,114Nm@ 3500rpm,5
Chevrolet,Sail,Chevrolet Sail,2016,400000,30000,Petrol,Individual,Manual,First Owner,18,18.2 kmpl,1199,82,108.5Nm@ 5000rpm,5
Maruti,Alto 800,Maruti Alto 800,2009,125000,60000,Petrol,Individual,Manual,Third Owner,20,19.7 kmpl,796,46,62Nm@ 3000rpm,5
Jeep,Compass,Jeep Compass,2018,1600000,14000,Diesel,Individual,Manual,First Owner,17,17.1 kmpl,1956,170,350Nm@ 1750-2500rpm,5
Honda,City,Honda City,2015,900000,22000,Petrol,Individual,Manual,First Owner,17,17.4 kmpl,1497,117,145Nm@ 4600rpm,5
Volkswagen,Vento,Volkswagen Vento,2012,450000,90000,Diesel,Individual,Manual,First Owner,21,20.54 kmpl,1598,104,250Nm@ 1500-2500rpm,5
Maruti,Alto 800,Maruti Alto 800,2011,210000,46000,Petrol,Individual,Manual,First Owner,21,20.92 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,i20,Hyundai i20,2018,801000,20000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1197,82,114.7Nm@ 4000rpm,5
Maruti,Ertiga,Maruti Ertiga,2015,600000,40000,Petrol,Individual,Manual,Second Owner,16,16.02 kmpl,1373,94,130Nm@ 4000rpm,7
Hyundai,i20 Magna,Hyundai i20 Magna,2014,330000,30000,Petrol,Individual,Manual,Second Owner,19,18.5 kmpl,1197,83,113.7Nm@ 4000rpm,5
Hyundai,EON,Hyundai EON,2017,320000,15000,Petrol,Individual,Manual,Second Owner,21,21.1 kmpl,814,55,74.5Nm@ 4000rpm,5
Maruti,Alto 800,Maruti Alto 800,2009,130000,70000,Petrol,Individual,Manual,Second Owner,20,19.7 kmpl,796,46,62Nm@ 3000rpm,5
Chevrolet,Sail,Chevrolet Sail,2015,220000,80000,Petrol,Individual,Manual,First Owner,18,18.2 kmpl,1199,82,108.5Nm@ 5000rpm,5
Tata,Zest,Tata Zest,2015,340000,110000,Petrol,Individual,Manual,First Owner,18,17.57 kmpl,1193,89,140Nm@ 1500-4000rpm,5
Toyota,Innova,Toyota Innova,2013,1000000,190000,Diesel,Individual,Manual,First Owner,13,12.99 kmpl,2494,101,200Nm@ 1200-3600rpm,8
Mahindra,Bolero,Mahindra Bolero,2010,495000,100000,Diesel,Individual,Manual,Second Owner,14,13.6 kmpl,2523,63,180 Nm at 1440-1500rpm,7
Maruti,Alto 800,Maruti Alto 800,2015,236000,60000,Petrol,Individual,Manual,First Owner,23,22.74 kmpl,796,47,69Nm@ 3500rpm,5
Maruti,Wagon R,Maruti Wagon R,2015,390000,40000,Petrol,Individual,Manual,First Owner,21,20.51 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2009,275000,90000,Diesel,Individual,Manual,Second Owner,19,19.3 kmpl,1248,74,190Nm@ 2000rpm,5
Tata,Safari,Tata Safari,2015,503000,110000,Diesel,Individual,Manual,First Owner,14,14.1 kmpl,2179,148,320Nm@ 1500-3000rpm,7
Maruti,Vitara Brezza,Maruti Vitara Brezza,2017,775000,32000,Diesel,Dealer,Manual,First Owner,24,24.3 kmpl,1248,89,200Nm@ 1750rpm,5
Toyota,Innova Crysta,Toyota Innova Crysta,2016,1800000,30000,Diesel,Individual,Automatic,First Owner,11,11.36 kmpl,2755,172,360Nm@ 1200-3400rpm,7
Hyundai,Creta,Hyundai Creta,2016,850000,58000,Diesel,Individual,Manual,First Owner,20,19.67 kmpl,1582,126,259.9Nm@ 1900-2750rpm,5
Maruti,Vitara Brezza,Maruti Vitara Brezza,2018,750000,5000,Diesel,Individual,Manual,First Owner,24,24.3 kmpl,1248,89,200Nm@ 1750rpm,5
Hyundai,i20,Hyundai i20,2018,570000,25000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1197,82,114.7Nm@ 4000rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2018,580000,32000,Petrol,Individual,Manual,First Owner,19,18.9 kmpl,1197,82,113.75nm@ 4000rpm,5
Honda,Jazz,Honda Jazz,2016,484999,30000,Petrol,Individual,Manual,First Owner,19,18.7 kmpl,1199,89,110Nm@ 4800rpm,5
Hyundai,Verna,Hyundai Verna,2012,415000,60000,Petrol,Dealer,Manual,First Owner,18,17.7 kmpl,1497,113,144.15nm@ 4500rpm,5
Nissan,Micra,Nissan Micra,2015,325000,50000,Petrol,Individual,Automatic,First Owner,19,19.34 kmpl,1198,76,104Nm@ 4400rpm,5
Ford,Figo,Ford Figo,2018,550000,14200,Petrol,Individual,Manual,First Owner,18,18.16 kmpl,1196,87,112Nm@ 4000rpm,5
Hyundai,EON,Hyundai EON,2017,300000,10000,Petrol,Individual,Manual,First Owner,21,21.1 kmpl,814,55,74.5Nm@ 4000rpm,5
Datsun,RediGO,Datsun RediGO,2018,217000,25000,Petrol,Individual,Manual,First Owner,23,22.7 kmpl,799,54,72Nm@ 4386rpm,5
Ford,Freestyle,Ford Freestyle,2018,700000,19100,Petrol,Individual,Manual,First Owner,19,19.0 kmpl,1194,95,120Nm@ 4250rpm,5
Hyundai,Santro,Hyundai Santro,2019,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20,20.3 kmpl,1086,68,99Nm@ 4500rpm,5
Ford,EcoSport,Ford EcoSport,2014,484999,54000,Diesel,Dealer,Manual,First Owner,23,23.0 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Nissan,Sunny,Nissan Sunny,2018,670000,35000,Diesel,Individual,Manual,First Owner,23,22.71 kmpl,1461,85,200Nm@ 2000rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2018,500000,20000,Petrol,Individual,Manual,Second Owner,19,18.9 kmpl,1197,82,113.75nm@ 4000rpm,5
Maruti,SX4,Maruti SX4,2016,675000,52000,Diesel,Individual,Manual,First Owner,24,23.65 kmpl,1248,89,200Nm@ 1750rpm,5
Hyundai,i20,Hyundai i20,2011,220000,120000,Diesel,Individual,Manual,Second Owner,23,23.0 kmpl,1396,90,22.4 kgm at 1750-2750rpm,5
Jeep,Compass,Jeep Compass,2017,1650000,50000,Diesel,Individual,Manual,First Owner,17,17.1 kmpl,1956,170,350Nm@ 1750-2500rpm,5
Maruti,Ertiga,Maruti Ertiga,2013,630000,120000,Diesel,Individual,Manual,Second Owner,21,20.77 kmpl,1248,89,200Nm@ 1750rpm,7
Tata,Manza,Tata Manza,2010,250000,90000,Diesel,Individual,Manual,Second Owner,19,18.8 kmpl,1248,90,200Nm@ 1750-3000rpm,5
Skoda,Rapid,Skoda Rapid,2015,300000,101500,Diesel,Individual,Manual,Second Owner,21,21.14 kmpl,1498,104,250Nm@ 1500-2500rpm,5
Hyundai,Verna,Hyundai Verna,2013,525000,75000,Diesel,Individual,Automatic,First Owner,22,22.32 kmpl,1582,126,259.9Nm@ 1900-2750rpm,5
Mahindra,Scorpio,Mahindra Scorpio,2016,1100000,100000,Diesel,Individual,Manual,First Owner,15,15.4 kmpl,1997,120,280Nm@ 1800-2800rpm,7
Renault,Duster,Renault Duster,2012,480000,55735,Diesel,Individual,Manual,Second Owner,19,19.01 kmpl,1461,108,248Nm@ 2250rpm,5
Mahindra,XUV 500,Mahindra XUV 500,2014,605000,80000,Diesel,Individual,Manual,Second Owner,15,15.1 kmpl,2179,140,330Nm@ 1600-2800rpm,7
Maruti,Alto 800,Maruti Alto 800,2016,250000,50000,Petrol,Individual,Manual,Second Owner,25,24.7 kmpl,796,47,69Nm@ 3500rpm,5
Ford,Figo,Ford Figo,2013,245000,70000,Diesel,Individual,Manual,Second Owner,20,20.0 kmpl,1399,68,160Nm@ 2000rpm,5
Hyundai,i10,Hyundai i10,2012,210000,76000,Petrol,Individual,Manual,Fourth & Above Owner,20,20.36 kmpl,1197,79,111.7Nm@ 4000rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2020,730000,1500,Petrol,Individual,Manual,First Owner,21,21.21 kmpl,1197,82,113Nm@ 4200rpm,5
Mahindra,Bolero,Mahindra Bolero,2012,500000,76000,Diesel,Individual,Manual,First Owner,16,15.96 kmpl,2523,62,195Nm@ 1400-2200rpm,7
Maruti,Wagon R,Maruti Wagon R,2015,400000,40000,Petrol,Individual,Manual,First Owner,21,20.51 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,EON,Hyundai EON,2015,280000,60000,Petrol,Individual,Manual,Second Owner,21,21.1 kmpl,814,55,74.5Nm@ 4000rpm,5
Toyota,Innova,Toyota Innova,2009,561000,170000,Diesel,Individual,Manual,Third Owner,13,12.8 kmpl,2494,102,20.4@ 1400-3400(kgm@ rpm),8
Chevrolet,Beat,Chevrolet Beat,2016,375000,53319,Diesel,Dealer,Manual,First Owner,25,25.44 kmpl,936,56,142.5Nm@ 1750rpm,5
Volkswagen,Ameo,Volkswagen Ameo,2017,700000,40906,Diesel,Dealer,Manual,First Owner,22,21.66 kmpl,1498,109,250Nm@ 1500-3000rpm,5
Toyota,Etios,Toyota Etios,2012,375000,31711,Petrol,Dealer,Manual,Second Owner,18,17.6 kmpl,1496,89,132Nm@ 3000rpm,5
Hyundai,EON,Hyundai EON,2012,270000,43755,Petrol,Dealer,Manual,Second Owner,21,21.1 kmpl,814,55,74.5Nm@ 4000rpm,5
Renault,KWID,Renault KWID,2016,300000,66693,Petrol,Dealer,Manual,First Owner,25,25.17 kmpl,799,53,72Nm@ 4386rpm,5
Maruti,Zen Estilo,Maruti Zen Estilo,2010,225000,59549,Petrol,Dealer,Manual,First Owner,19,19.0 kmpl,998,67,90Nm@ 3500rpm,5
Toyota,Innova,Toyota Innova,2015,1350000,94385,Diesel,Dealer,Manual,First Owner,13,12.99 kmpl,2494,101,200Nm@ 1200-3600rpm,8
Maruti,Zen Estilo,Maruti Zen Estilo,2010,200000,73730,Petrol,Dealer,Manual,First Owner,18,18.2 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,Verna,Hyundai Verna,2011,400000,221889,Diesel,Dealer,Manual,First Owner,22,22.32 kmpl,1582,126,259.8Nm@ 1900-2750rpm,5
Honda,Amaze,Honda Amaze,2013,500000,116104,Diesel,Dealer,Manual,First Owner,26,25.8 kmpl,1498,99,200Nm@ 1750rpm,5
Maruti,Swift,Maruti Swift,2015,500000,150546,Petrol,Dealer,Manual,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Toyota,Fortuner,Toyota Fortuner,2013,1500000,148120,Diesel,Dealer,Manual,First Owner,14,14.24 kmpl,2755,175,420Nm@ 1400-2600rpm,7
Ford,Ecosport,Ford Ecosport,2015,555000,20000,Petrol,Individual,Manual,Second Owner,16,15.8 kmpl,1499,110,140Nm@ 4400rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2018,580000,30000,Petrol,Individual,Automatic,First Owner,19,18.9 kmpl,1197,82,113.75nm@ 4000rpm,5
Tata,Sumo,Tata Sumo,2011,175000,20000,Diesel,Individual,Manual,First Owner,12,12.2 kmpl,1948,68,"115@ 2,500(kgm@ rpm)",10
Tata,Manza,Tata Manza,2009,180000,120000,Diesel,Individual,Manual,Second Owner,19,18.8 kmpl,1248,90,200Nm@ 1750-3000rpm,5
Hyundai,i10,Hyundai i10,2011,200000,80000,Petrol,Individual,Manual,First Owner,20,19.81 kmpl,1086,68,99.04Nm@ 4500rpm,5
Tata,Indigo,Tata Indigo,2016,260000,60000,Diesel,Individual,Manual,First Owner,19,19.09 kmpl,1405,69,135Nm@ 2500rpm,5
Renault,KWID,Renault KWID,2016,350000,25000,Petrol,Individual,Manual,First Owner,23,23.01 kmpl,999,67,91Nm@ 4250rpm,5
Mahindra,Bolero,Mahindra Bolero,2011,409999,50000,Diesel,Individual,Manual,Second Owner,14,13.6 kmpl,2523,63,180 Nm at 1440-1500rpm,7
Mahindra,TUV 300,Mahindra TUV 300,2017,655000,126000,Diesel,Individual,Manual,First Owner,18,18.49 kmpl,1493,100,240Nm@ 1600-2800rpm,7
Maruti,Swift Dzire,Maruti Swift Dzire,2015,370000,170000,Diesel,Individual,Manual,First Owner,27,26.59 kmpl,1248,74,190Nm@ 2000rpm,5
Maruti,Alto 800,Maruti Alto 800,2013,200000,24000,Petrol,Individual,Manual,First Owner,23,22.74 kmpl,796,47,69Nm@ 3500rpm,5
Maruti,Ertiga,Maruti Ertiga,2017,800000,100000,Diesel,Individual,Manual,Second Owner,25,24.52 kmpl,1248,89,200Nm@ 1750rpm,7
Tata,Tiago Revotorq,Tata Tiago Revotorq,2019,550000,10000,Petrol,Individual,Manual,First Owner,24,24.0 kmpl,1199,84,114Nm@ 3500rpm,5
Ford,Figo,Ford Figo,2012,300000,70000,Diesel,Individual,Manual,Second Owner,20,20.0 kmpl,1399,68,160Nm@ 2000rpm,5
Maruti,Omni,Maruti Omni,2017,220000,40000,Petrol,Individual,Manual,First Owner,17,16.8 kmpl,796,34,59Nm@ 2500rpm,8
Maruti,Wagon R,Maruti Wagon R,2011,196000,110000,Petrol,Individual,Manual,First Owner,19,18.9 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Alto 800,Maruti Alto 800,2017,300000,30000,Petrol,Individual,Manual,First Owner,24,23.95 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Ertiga,Maruti Ertiga,2017,720000,80000,Diesel,Individual,Manual,First Owner,25,24.52 kmpl,1248,89,200Nm@ 1750rpm,7
Tata,Safari,Tata Safari,2016,650000,50000,Diesel,Individual,Manual,Third Owner,14,14.1 kmpl,2179,148,320Nm@ 1500-3000rpm,7
Maruti,Alto 800,Maruti Alto 800,2016,300000,25000,Petrol,Individual,Manual,First Owner,24,23.95 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2019,750000,20000,Diesel,Individual,Manual,First Owner,24,24.0 kmpl,1186,74,190.24nm@ 1750-2250rpm,5
Renault,KWID,Renault KWID,2016,260000,60000,Petrol,Individual,Manual,First Owner,25,25.17 kmpl,799,53,72Nm@ 4386rpm,5
Maruti,Swift,Maruti Swift,2011,300000,70000,Diesel,Individual,Manual,Second Owner,23,22.9 kmpl,1248,74,190Nm@ 2000rpm,5
Mahindra,Bolero,Mahindra Bolero,2014,600000,50000,Diesel,Individual,Manual,Second Owner,16,15.96 kmpl,2523,62,195Nm@ 1400-2200rpm,7
Maruti,Alto 800,Maruti Alto 800,2015,250000,52000,Petrol,Individual,Manual,First Owner,24,23.95 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2014,420000,80000,Diesel,Individual,Manual,First Owner,23,23.4 kmpl,1248,74,190Nm@ 2000rpm,5
Hyundai,EON,Hyundai EON,2015,235000,50000,Petrol,Individual,Manual,First Owner,21,21.1 kmpl,814,55,74.5Nm@ 4000rpm,5
Mahindra,Scorpio,Mahindra Scorpio,2016,1100000,60000,Diesel,Individual,Manual,First Owner,15,15.4 kmpl,2179,120,280Nm@ 1800-2800rpm,7
Maruti,Alto 800,Maruti Alto 800,2019,360000,25000,Petrol,Individual,Manual,First Owner,24,23.95 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2014,380000,50000,Diesel,Individual,Manual,Second Owner,24,24.0 kmpl,1120,70,160Nm@ 1500-2750rpm,5
Ford,EcoSport,Ford EcoSport,2016,650000,125000,Diesel,Individual,Manual,First Owner,23,22.77 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Maruti,Wagon R,Maruti Wagon R,2016,350000,80000,Petrol,Individual,Manual,First Owner,21,20.51 kmpl,998,67,90Nm@ 3500rpm,5
Mahindra,Bolero,Mahindra Bolero,2017,700000,70000,Diesel,Individual,Manual,First Owner,16,15.96 kmpl,2523,63,180Nm@ 1440-1500rpm,9
Hyundai,i20 Asta,Hyundai i20 Asta,2010,270000,90000,Diesel,Individual,Manual,Third Owner,23,23.0 kmpl,1396,90,22.4 kgm at 1750-2750rpm,5
Mahindra,Thar,Mahindra Thar,2016,630000,101000,Diesel,Individual,Manual,First Owner,17,16.55 kmpl,2498,105,247Nm@ 1800-2000rpm,6
Mahindra,Xylo,Mahindra Xylo,2010,229999,168000,Diesel,Individual,Manual,First Owner,14,14.0 kmpl,2498,112,260 Nm at 1800-2200 rpm,7
Mahindra,Xylo,Mahindra Xylo,2010,229999,168000,Diesel,Individual,Manual,First Owner,14,14.0 kmpl,2498,112,260 Nm at 1800-2200 rpm,7
Maruti,Wagon R,Maruti Wagon R,2011,270000,40000,Petrol,Individual,Manual,First Owner,19,18.9 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Wagon R,Maruti Wagon R,2012,275000,20000,Petrol,Individual,Manual,First Owner,19,18.9 kmpl,998,67,90Nm@ 3500rpm,5
Jaguar,XF,Jaguar XF,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,14,13.6 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Jaguar,XF,Jaguar XF,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19,19.33 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Tata,Safari,Tata Safari,2015,503000,110000,Diesel,Individual,Manual,First Owner,14,14.1 kmpl,2179,148,320Nm@ 1500-3000rpm,7
Volvo,XC40 D4,Volvo XC40 D4,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18,18.0 kmpl,1969,190,400Nm,5
Toyota,Camry Hybrid,Toyota Camry Hybrid,2016,2000000,68089,Petrol,Dealer,Automatic,First Owner,19,19.16 kmpl,2494,158,213Nm@ 4500rpm,5
Maruti,Wagon R,Maruti Wagon R,2013,225000,58343,Petrol,Dealer,Manual,First Owner,22,21.79 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Beno,Maruti Beno,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27,27.39 kmpl,1248,74,190Nm@ 2000rpm,5
Honda,Jazz,Honda Jazz,2016,550000,56494,Petrol,Dealer,Manual,First Owner,18,18.2 kmpl,1199,89,110Nm@ 4800rpm,5
Toyota,Innova,Toyota Innova,2013,750000,79328,Diesel,Dealer,Manual,Second Owner,13,12.99 kmpl,2494,101,200Nm@ 1200-3600rpm,7
Maruti,Swift,Maruti Swift,2019,650000,5621,Petrol,Dealer,Automatic,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Toyota,Etios,Toyota Etios,2017,625000,25538,Petrol,Dealer,Manual,First Owner,17,16.78 kmpl,1496,89,132Nm@ 3000rpm,5
Maruti,Swift,Maruti Swift,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24,24.0 kmpl,1186,74,190.24nm@ 1750-2250rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
Honda,Amaze,Honda Amaze,2019,779000,7032,Petrol,Dealer,Automatic,First Owner,19,19.0 kmpl,1199,89,110Nm@ 4800rpm,5
Skoda,Rapid,Skoda Rapid,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14,14.3 kmpl,1598,104,153Nm@ 3800rpm,5
Volvo,V40 D3,Volvo V40 D3,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,17,16.8 kmpl,1984,150,350Nm@ 1500-2750rpm,5
Mahindra,TUV 300,Mahindra TUV 300,2015,634000,165000,Diesel,Individual,Manual,First Owner,18,18.49 kmpl,1493,100,240Nm@ 1600-2800rpm,7
Maruti,A-Star,Maruti A-Star,2012,235000,98500,Petrol,Individual,Manual,Second Owner,19,19.0 kmpl,998,66,90Nm@ 3500rpm,5
Mahindra,Thar,Mahindra Thar,2014,700000,40000,Diesel,Individual,Manual,Second Owner,17,16.55 kmpl,2498,105,247Nm@ 1800-2000rpm,6
Fiat,Grande Punto,Fiat Grande Punto,2013,400000,90000,Diesel,Individual,Manual,First Owner,20,20.3 kmpl,1248,92,209Nm@ 2000rpm,5
Maruti,Alto 800,Maruti Alto 800,2012,215000,90000,Petrol,Individual,Manual,Third Owner,20,19.7 kmpl,796,46,62Nm@ 3000rpm,5
Maruti,S-Cross,Maruti S-Cross,2018,950000,77800,Diesel,Individual,Manual,First Owner,25,25.1 kmpl,1248,89,200Nm@ 1750rpm,5
Mahindra,TUV 300,Mahindra TUV 300,2015,730000,100000,Diesel,Individual,Manual,First Owner,18,18.49 kmpl,1493,100,240Nm@ 1600-2800rpm,7
Tata,Indica,Tata Indica,2012,135000,120000,Diesel,Individual,Manual,Second Owner,19,19.0 kmpl,1405,71,135 Nm at 2500 rpm,5
Hyundai,Xcent,Hyundai Xcent,2016,350000,80000,Petrol,Individual,Manual,Second Owner,19,19.1 kmpl,1197,82,114Nm@ 4000rpm,5
Mahindra,KUV 100,Mahindra KUV 100,2018,535000,21000,Petrol,Individual,Manual,Second Owner,18,18.15 kmpl,1198,82,115Nm@ 3500-3600rpm,6
Maruti,Swift Dzire,Maruti Swift Dzire,2018,455000,100000,Petrol,Individual,Manual,Second Owner,19,19.0 kmpl,1197,86,114Nm@ 4000rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2019,655000,25000,Petrol,Individual,Manual,First Owner,21,21.21 kmpl,1197,82,113Nm@ 4200rpm,5
Ford,EcoSport,Ford EcoSport,2019,800000,30000,Diesel,Individual,Manual,Third Owner,23,23.0 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Mercedes-Benz,E-Class,Mercedes-Benz E-Class,2016,3000000,40000,Diesel,Individual,Automatic,First Owner,13,13.0 kmpl,2143,204,500Nm@ 1600-1800rpm,5
Toyota,Fortuner,Toyota Fortuner,2012,1225000,160000,Diesel,Individual,Automatic,First Owner,12,11.5 kmpl,2982,169,343Nm@ 1400-3400rpm,7
Mahindra,KUV 100,Mahindra KUV 100,2018,340000,51492,Petrol,Individual,Manual,First Owner,18,18.15 kmpl,1198,82,115Nm@ 3500-3600rpm,6
Volkswagen,Vento,Volkswagen Vento,2011,300000,72000,Diesel,Individual,Manual,Second Owner,21,20.54 kmpl,1598,104,250Nm@ 1500-2500rpm,5
Ford,Figo,Ford Figo,2016,370000,60000,Petrol,Individual,Manual,First Owner,18,18.16 kmpl,1196,87,112Nm@ 4000rpm,5
Mahindra,Bolero,Mahindra Bolero,2013,330000,136000,Diesel,Individual,Manual,Second Owner,16,15.96 kmpl,2523,62,195Nm@ 1400-2200rpm,7
Hyundai,Santro Xing,Hyundai Santro Xing,2014,238000,60000,Petrol,Individual,Manual,First Owner,18,17.92 kmpl,1086,62,96.1Nm@ 3000rpm,5
Hyundai,Santro Xing,Hyundai Santro Xing,2013,200000,90000,Petrol,Individual,Manual,First Owner,18,17.92 kmpl,1086,62,96.1Nm@ 3000rpm,5
Nissan,Sunny,Nissan Sunny,2014,320000,91000,Diesel,Individual,Manual,Fourth & Above Owner,23,22.71 kmpl,1461,85,200Nm@ 2000rpm,5
Hyundai,Santro Xing,Hyundai Santro Xing,2009,114999,90000,Petrol,Individual,Manual,Fourth & Above Owner,18,17.92 kmpl,1086,62,96.1Nm@ 3000rpm,5
Maruti,Wagon R,Maruti Wagon R,2015,320000,50000,Petrol,Individual,Manual,Second Owner,21,20.51 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,i10,Hyundai i10,2010,210000,20000,Petrol,Individual,Manual,First Owner,20,19.81 kmpl,1086,68,99.04Nm@ 4500rpm,5
Mahindra,Xylo,Mahindra Xylo,2011,200000,120000,Diesel,Individual,Manual,First Owner,14,14.0 kmpl,2489,95,220Nm at 1400-2600 rpm,8
Maruti,Wagon R,Maruti Wagon R,2009,135000,150000,Petrol,Individual,Manual,Second Owner,19,18.9 kmpl,1061,67,84Nm@ 3500rpm,5
Tata,Indigo,Tata Indigo,2015,350000,52000,Diesel,Individual,Manual,First Owner,19,19.09 kmpl,1405,69,135Nm@ 2500rpm,5
Mahindra,Bolero,Mahindra Bolero,2014,350000,167000,Diesel,Individual,Manual,Second Owner,14,13.6 kmpl,2523,63,180Nm@ 1440-1500rpm,8
Maruti,Swift Dzire,Maruti Swift Dzire,2017,680000,40000,Diesel,Individual,Manual,First Owner,28,28.4 kmpl,1248,74,190Nm@ 2000rpm,5
Maruti,Swift,Maruti Swift,2010,200000,190000,Diesel,Individual,Manual,Second Owner,18,17.8 kmpl,1248,75,190Nm@ 2000rpm,5
Renault,KWID,Renault KWID,2016,300000,50000,Petrol,Individual,Manual,First Owner,23,23.01 kmpl,999,67,91Nm@ 4250rpm,5
Mahindra,Xylo,Mahindra Xylo,2011,270000,70000,Diesel,Individual,Manual,Second Owner,14,14.0 kmpl,2498,112,260 Nm at 1800-2200 rpm,7
Maruti,Wagon R,Maruti Wagon R,2012,225000,80000,Petrol,Individual,Manual,Second Owner,19,18.9 kmpl,998,67,90Nm@ 3500rpm,5
Mahindra,TUV 300,Mahindra TUV 300,2015,590000,40000,Diesel,Individual,Manual,Second Owner,18,18.49 kmpl,1493,100,240Nm@ 1600-2800rpm,7
Hyundai,EON,Hyundai EON,2015,290000,17000,Petrol,Individual,Manual,First Owner,21,21.1 kmpl,814,55,74.5Nm@ 4000rpm,5
Maruti,Zen Estilo,Maruti Zen Estilo,2010,100000,180000,Petrol,Individual,Manual,Second Owner,19,19.0 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Celerio,Maruti Celerio,2016,395000,50000,Petrol,Individual,Manual,First Owner,23,23.1 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,EON,Hyundai EON,2014,195000,65000,Petrol,Individual,Manual,Second Owner,21,21.1 kmpl,814,55,74.5Nm@ 4000rpm,5
Tata,Nano,Tata Nano,2011,45000,10000,Petrol,Individual,Manual,Third Owner,26,26.0 kmpl,624,35,48Nm@ 3000rpm,4
Mahindra,Bolero,Mahindra Bolero,2009,270000,70000,Diesel,Individual,Manual,Second Owner,14,13.6 kmpl,2523,63,180 Nm at 1440-1500rpm,8
Chevrolet,Tavera,Chevrolet Tavera,2014,600000,90000,Diesel,Individual,Manual,Second Owner,14,13.58 kmpl,2499,72,171Nm@ 1800rpm,9
Hyundai,i20 Asta,Hyundai i20 Asta,2015,715000,50000,Diesel,Individual,Manual,First Owner,23,22.54 kmpl,1396,89,219.7Nm@ 1500-2750rpm,5
Hyundai,Elite i20,Hyundai Elite i20,2019,600000,10000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1197,82,117nm@ 4000rpm,5
Mahindra,TUV 300,Mahindra TUV 300,2019,875000,25000,Diesel,Individual,Manual,First Owner,18,18.49 kmpl,1493,100,240Nm@ 1600-2800rpm,7
Mahindra,Scorpio,Mahindra Scorpio,2011,420000,100000,Diesel,Individual,Manual,Second Owner,14,13.5 kmpl,2179,115,277.5Nm@ 1700-2200rpm,5
