name,manufacturer,model,year,km_driven,fuel,transmission,owner,mileage_int,cmp,selling_price
Tata Manza,Tata,Manza,2010,100000,Diesel,Manual,Second Owner,19,768000,190000
Hyundai i20 Active,Hyundai,i20 Active,2018,30000,Diesel,Manual,First Owner,21,713000,800000
Tata Safari,Tata,Safari,2011,80000,Diesel,Manual,Second Owner,14,152000,300000
Volkswagen Vento,Volkswagen,Vento,2011,69000,Diesel,Manual,Second Owner,21,116600,375000
Chevrolet Beat,Chevrolet,Beat,2010,75000,Petrol,Manual,First Owner,19,396000,140000
Hyundai Xcent,Hyundai,Xcent,2014,90000,Diesel,Manual,Second Owner,24,685000,420000
Tata Indica Vista,Tata,Indica Vista,2012,110000,Diesel,Manual,First Owner,22,611000,150000
Ford EcoSport,Ford,EcoSport,2015,90000,Diesel,Manual,First Owner,23,961000,600000
Ford Figo,Ford,Figo,2011,100000,Diesel,Manual,Second Owner,20,690000,204999
Hyundai Xcent,Hyundai,Xcent,2017,50000,Diesel,Manual,First Owner,25,685000,625000
Fiat Grande Punto,Fiat,Grande Punto,2011,200000,Diesel,Manual,First Owner,21,504000,280000
Chevrolet Optra Magnum,Chevrolet,Optra Magnum,2009,80000,Petrol,Manual,Second Owner,13,103300,250000
Tata New Safari DICOR,Tata,New Safari DICOR,2010,96443,Diesel,Manual,Second Owner,12,993000,535000
Maruti Swift,Maruti,Swift,2019,10000,Petrol,Automatic,First Owner,21,591000,610000
Maruti Swift Dzire,Maruti,Swift Dzire,2014,110000,Diesel,Manual,First Owner,23,690000,509999
Tata Safari,Tata,Safari,2014,86000,Diesel,Manual,Second Owner,14,152000,521000
Maruti Swift Dzire,Maruti,Swift Dzire,2014,100000,Diesel,Manual,First Owner,23,690000,511000
Hyundai i20 Sportz,Hyundai,i20 Sportz,2014,91000,Diesel,Manual,First Owner,23,780000,451000
Hyundai i10,Hyundai,i10,2009,100000,Petrol,Manual,First Owner,20,707000,170000
Maruti Swift Dzire,Maruti,Swift Dzire,2013,120000,Diesel,Manual,Second Owner,23,690000,450000
Honda City,Honda,City,2011,90000,Petrol,Manual,Second Owner,17,113800,375000
Maruti Alto 800,Maruti,Alto 800,2016,60000,Petrol,Manual,Second Owner,23,503000,305000
Renault KWID,Renault,KWID,2016,51500,Petrol,Manual,First Owner,25,449000,315000
Chevrolet Sail,Chevrolet,Sail,2016,60000,Diesel,Manual,Second Owner,22,530000,250000
Ford Figo,Ford,Figo,2012,104500,Diesel,Manual,Second Owner,20,690000,200000
Ford EcoSport,Ford,EcoSport,2018,30000,Diesel,Manual,First Owner,23,961000,950000
Renault Duster,Renault,Duster,2012,120000,Diesel,Manual,Third Owner,19,101900,400000
Maruti Swift,Maruti,Swift,2014,100000,Diesel,Manual,Second Owner,23,591000,509999
Hyundai Verna,Hyundai,Verna,2015,50000,Petrol,Manual,Second Owner,17,932000,465000
Hyundai Grand i10,Hyundai,Grand i10,2019,10000,Diesel,Manual,First Owner,24,707000,700000
Mahindra Scorpio,Mahindra,Scorpio,2015,120000,Diesel,Manual,Third Owner,15,133000,950000
Hyundai i20,Hyundai,i20,2017,40000,Petrol,Manual,First Owner,19,698000,610000
Maruti Alto 800,Maruti,Alto 800,2014,50000,Petrol,Manual,First Owner,23,503000,235000
Maruti Eeco,Maruti,Eeco,2017,90000,Petrol,Manual,First Owner,15,535000,330000
Nissan Terrano,Nissan,Terrano,2014,90000,Diesel,Manual,First Owner,20,122400,472000
Maruti Swift,Maruti,Swift,2019,10000,Petrol,Manual,First Owner,21,591000,585000
Mahindra Supro LX 8 Str,Mahindra,Supro LX 8 Str,2018,10000,Diesel,Manual,First Owner,24,600375,500000
Maruti Alto 800,Maruti,Alto 800,2019,27000,Petrol,Manual,First Owner,24,503000,360000
Maruti Swift Dzire,Maruti,Swift Dzire,2016,70000,Diesel,Manual,First Owner,27,690000,649000
Maruti Omni,Maruti,Omni,2017,50000,Petrol,Manual,First Owner,17,261000,200000
Hyundai Grand i10,Hyundai,Grand i10,2014,110000,Diesel,Manual,First Owner,24,707000,400000
Maruti Celerio,Maruti,Celerio,2015,100000,Diesel,Manual,Second Owner,28,515000,250000
Maruti Swift,Maruti,Swift,2009,105000,Diesel,Manual,Second Owner,18,591000,250000
Toyota Innova,Toyota,Innova,2013,110000,Diesel,Manual,First Owner,13,186300,819999
Mahindra XUV 500,Mahindra,XUV 500,2014,60000,Diesel,Manual,Second Owner,15,149500,800000
Ford EcoSport,Ford,EcoSport,2013,49102,Petrol,Manual,Second Owner,19,961000,429000
Hyundai Santro Xing,Hyundai,Santro Xing,2010,60000,Petrol,Manual,Third Owner,18,447000,150000
Chevrolet Beat,Chevrolet,Beat,2012,90000,Diesel,Manual,First Owner,25,396000,170000
Honda Brio,Honda,Brio,2014,33033,Petrol,Manual,First Owner,19,566000,335000
Hyundai Grand i10,Hyundai,Grand i10,2015,63063,Petrol,Automatic,First Owner,19,707000,465000
Renault Duster,Renault,Duster,2013,81000,Diesel,Manual,Second Owner,19,101900,360000
Hyundai Xcent,Hyundai,Xcent,2018,80000,Diesel,Manual,First Owner,25,685000,570000
Renault Duster,Renault,Duster,2012,105000,Diesel,Manual,Second Owner,19,101900,350000
Maruti Ertiga,Maruti,Ertiga,2017,227000,Petrol,Manual,First Owner,18,969000,700000
Renault Duster,Renault,Duster,2012,100000,Diesel,Manual,Second Owner,19,101900,375000
Maruti Eeco,Maruti,Eeco,2019,60000,CNG,Manual,First Owner,22,535000,450000
Hyundai i20 Magna,Hyundai,i20 Magna,2013,70000,Diesel,Manual,Third Owner,22,698000,325000
Volkswagen Vento,Volkswagen,Vento,2011,120000,Diesel,Manual,Third Owner,21,116600,260000
Maruti Alto 800,Maruti,Alto 800,2009,80000,Petrol,Manual,Third Owner,20,503000,130000
Hyundai Santro Xing,Hyundai,Santro Xing,2014,40000,Petrol,Manual,First Owner,18,447000,220000
Hyundai i10,Hyundai,i10,2014,53000,Petrol,Manual,First Owner,20,707000,275000
Maruti Swift,Maruti,Swift,2017,60000,Diesel,Manual,First Owner,25,591000,455000
Hyundai i20,Hyundai,i20,2017,30000,Petrol,Manual,First Owner,19,698000,570000
Volkswagen Vento,Volkswagen,Vento,2013,100000,Diesel,Manual,Third Owner,21,116600,330000
Toyota Innova Crysta,Toyota,Innova Crysta,2018,70000,Diesel,Manual,First Owner,14,178600,1576000
Maruti Ertiga,Maruti,Ertiga,2012,98000,Diesel,Manual,Fourth & Above Owner,21,969000,450000
Hyundai EON,Hyundai,EON,2014,60000,Petrol,Manual,First Owner,21,450000,250000
Hyundai i10,Hyundai,i10,2010,80000,Petrol,Manual,Third Owner,20,707000,165000
Honda Jazz,Honda,Jazz,2018,8576,Petrol,Manual,First Owner,19,796000,680000
Tata Tigor,Tata,Tigor,2017,19723,Petrol,Automatic,First Owner,20,582000,525000
Honda City,Honda,City,2016,21446,Petrol,Manual,First Owner,17,113800,825000
Maruti S-Cross,Maruti,S-Cross,2017,52289,Diesel,Manual,First Owner,25,880000,750000
Mahindra Scorpio,Mahindra,Scorpio,2017,52236,Diesel,Manual,First Owner,15,133000,950000
Mahindra Scorpio,Mahindra,Scorpio,2017,54470,Diesel,Manual,First Owner,15,133000,950000
Hyundai i20,Hyundai,i20,2017,25471,Diesel,Manual,First Owner,22,698000,675000
Tata Tiago Revotorq,Tata,Tiago Revotorq,2019,33928,Petrol,Manual,First Owner,24,693000,490000
Mahindra TUV 300,Mahindra,TUV 300,2018,59736,Diesel,Manual,First Owner,18,859000,775000
Honda City,Honda,City,2009,54290,Petrol,Manual,First Owner,17,113800,350000
Honda Brio,Honda,Brio,2016,2118,Petrol,Manual,First Owner,19,566000,475000
Mahindra Scorpio,Mahindra,Scorpio,2017,61379,Diesel,Manual,First Owner,15,133000,950000
Honda City,Honda,City,2010,58544,Petrol,Manual,Second Owner,17,113800,350000
Maruti Wagon R,Maruti,Wagon R,2016,74381,Petrol,Manual,First Owner,22,690000,400000
Ford Ecosport,Ford,Ecosport,2017,63982,Diesel,Manual,First Owner,23,961000,850000
Mahindra Bolero,Mahindra,Bolero,2014,74000,Diesel,Manual,First Owner,16,920000,570000
Renault Duster,Renault,Duster,2013,56429,Diesel,Manual,Second Owner,19,101900,525000
Hyundai i10,Hyundai,i10,2012,56000,Petrol,Manual,First Owner,20,707000,270000
Hyundai Santro,Hyundai,Santro,2019,19500,Petrol,Manual,First Owner,20,486000,434999
Hyundai i20 Asta,Hyundai,i20 Asta,2015,30000,Petrol,Manual,First Owner,19,875000,495000
Hyundai i20 Asta,Hyundai,i20 Asta,2016,53000,Diesel,Manual,First Owner,23,875000,575000
Hyundai Xcent,Hyundai,Xcent,2017,5000,Petrol,Manual,First Owner,20,685000,600000
Hyundai Verna,Hyundai,Verna,2015,25000,Petrol,Manual,First Owner,17,932000,700000
Honda City,Honda,City,2014,72000,Diesel,Manual,First Owner,26,113800,560000
Skoda Rapid,Skoda,Rapid,2013,29000,Petrol,Manual,Second Owner,15,156000,409999
Nissan Terrano,Nissan,Terrano,2016,56832,Diesel,Manual,First Owner,20,122400,495000
Hyundai Elite i20,Hyundai,Elite i20,2014,30528,Petrol,Manual,First Owner,19,658000,470000
Honda Amaze,Honda,Amaze,2013,65285,Diesel,Manual,First Owner,25,634000,350000
Toyota Innova Crysta,Toyota,Innova Crysta,2020,20102,Diesel,Manual,First Owner,14,178600,1560000
Honda Jazz,Honda,Jazz,2015,43000,Petrol,Manual,First Owner,19,796000,480000
Toyota Etios,Toyota,Etios,2013,52380,Diesel,Manual,First Owner,24,869000,270000
Mahindra Bolero,Mahindra,Bolero,2018,74250,Diesel,Manual,First Owner,21,920000,660000
Maruti Ignis,Maruti,Ignis,2017,57247,Petrol,Automatic,First Owner,21,525000,490000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2017,52000,Diesel,Manual,First Owner,24,784000,800000
Nissan Sunny,Nissan,Sunny,2011,47000,Petrol,Manual,Second Owner,17,829000,350000
Ford Fiesta,Ford,Fiesta,2011,80000,Diesel,Manual,Third Owner,18,103200,170000
Tata Indica Vista,Tata,Indica Vista,2011,85000,Diesel,Manual,Second Owner,18,611000,125000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,100000,Diesel,Manual,First Owner,19,690000,400000
Nissan Sunny,Nissan,Sunny,2011,110000,Petrol,Manual,First Owner,17,829000,250000
Fiat Linea,Fiat,Linea,2010,178000,Diesel,Manual,Second Owner,20,108200,190000
Maruti Alto 800,Maruti,Alto 800,2010,120000,Petrol,Manual,Third Owner,20,503000,125000
Jeep Compass,Jeep,Compass,2017,70000,Diesel,Manual,First Owner,16,295900,1950000
Audi Q5,Audi,Q5,2011,120000,Diesel,Automatic,First Owner,13,713400,1300000
Toyota Innova,Toyota,Innova,2010,155000,Diesel,Manual,Third Owner,13,186300,786000
Maruti Wagon R,Maruti,Wagon R,2015,30000,Petrol,Manual,First Owner,21,690000,335000
Maruti Wagon R,Maruti,Wagon R,2009,60000,Petrol,Manual,Third Owner,19,690000,114999
Volkswagen Polo,Volkswagen,Polo,2012,70000,Diesel,Manual,Fourth & Above Owner,22,645000,229999
Hyundai i20,Hyundai,i20,2017,40000,Diesel,Manual,First Owner,23,698000,731000
Hyundai Verna,Hyundai,Verna,2012,120000,Diesel,Manual,First Owner,22,932000,395000
Maruti Swift Dzire,Maruti,Swift Dzire,2015,120000,Diesel,Manual,First Owner,27,690000,500000
Hyundai EON,Hyundai,EON,2014,50000,Petrol,Manual,Third Owner,21,450000,220000
Ford Figo,Ford,Figo,2013,100000,Diesel,Manual,First Owner,20,690000,240000
Hyundai i20,Hyundai,i20,2010,120000,Diesel,Manual,Third Owner,23,698000,215000
Maruti Swift,Maruti,Swift,2012,90000,Diesel,Manual,Second Owner,23,591000,400000
Maruti Zen Estilo,Maruti,Zen Estilo,2012,90000,Petrol,Manual,First Owner,19,481000,191000
Mahindra Xylo,Mahindra,Xylo,2013,100000,Diesel,Manual,Second Owner,14,998000,351000
Tata Nano,Tata,Nano,2015,20000,Petrol,Automatic,First Owner,22,251000,250000
Hyundai Verna,Hyundai,Verna,2009,90000,Diesel,Manual,Second Owner,18,932000,210000
Toyota Etios,Toyota,Etios,2011,120000,Petrol,Manual,Third Owner,18,869000,300000
Ford Figo,Ford,Figo,2017,35000,Diesel,Manual,First Owner,26,690000,700000
Hyundai Elite i20,Hyundai,Elite i20,2019,10000,Diesel,Manual,First Owner,23,658000,850000
Honda Mobilio,Honda,Mobilio,2017,65000,Diesel,Manual,Second Owner,26,729000,770000
Maruti Alto 800,Maruti,Alto 800,2012,90000,Petrol,Manual,First Owner,21,503000,250000
Hyundai i20 Active,Hyundai,i20 Active,2016,42323,Diesel,Manual,First Owner,21,713000,651000
Honda City,Honda,City,2013,42462,Petrol,Manual,First Owner,17,113800,480000
Maruti Swift,Maruti,Swift,2015,54723,Diesel,Manual,First Owner,25,591000,470000
Honda Jazz,Honda,Jazz,2016,30000,Diesel,Manual,First Owner,27,796000,500000
BMW X1,BMW,X1,2011,42545,Diesel,Automatic,First Owner,20,496100,1075000
Maruti S-Cross,Maruti,S-Cross,2016,32000,Diesel,Manual,First Owner,25,880000,690000
Maruti Ignis,Maruti,Ignis,2018,20375,Petrol,Manual,First Owner,21,525000,480000
Maruti Swift,Maruti,Swift,2013,43978,Diesel,Manual,Second Owner,28,591000,450000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2018,50000,Diesel,Manual,First Owner,24,784000,770000
Mahindra Bolero,Mahindra,Bolero,2015,40200,Diesel,Manual,First Owner,21,920000,445000
Hyundai i20,Hyundai,i20,2018,30000,Petrol,Manual,First Owner,19,698000,700000
Maruti Ertiga,Maruti,Ertiga,2014,90000,Diesel,Manual,First Owner,21,969000,560000
Ford EcoSport,Ford,EcoSport,2013,48000,Diesel,Manual,Second Owner,22,961000,475000
Honda Amaze,Honda,Amaze,2014,27233,Diesel,Manual,First Owner,27,634000,465000
Maruti Swift Dzire,Maruti,Swift Dzire,2017,28832,Diesel,Manual,First Owner,23,690000,520000
Tata Manza,Tata,Manza,2011,35000,Petrol,Manual,First Owner,15,768000,225000
Maruti Ertiga,Maruti,Ertiga,2015,35000,Petrol,Manual,First Owner,16,969000,700000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2017,40000,Diesel,Manual,First Owner,24,784000,780000
Hyundai i10,Hyundai,i10,2009,50000,Petrol,Manual,Second Owner,20,707000,229999
Maruti Swift Dzire,Maruti,Swift Dzire,2016,40000,Diesel,Manual,Second Owner,27,690000,525000
Maruti Ertiga,Maruti,Ertiga,2014,25000,Petrol,Manual,First Owner,16,969000,560000
Mahindra XUV 500,Mahindra,XUV 500,2020,120000,Diesel,Manual,First Owner,15,149500,830000
Maruti Ritz,Maruti,Ritz,2011,60000,Diesel,Manual,Second Owner,21,525000,250000
Mahindra Bolero,Mahindra,Bolero,2014,110000,Diesel,Manual,First Owner,16,920000,450000
Mahindra Scorpio,Mahindra,Scorpio,2016,67000,Diesel,Manual,First Owner,15,133000,745000
Ford Figo,Ford,Figo,2010,50000,Diesel,Manual,Second Owner,20,690000,144000
Mahindra Bolero,Mahindra,Bolero,2009,150000,Diesel,Manual,Second Owner,14,920000,270000
Chevrolet Sail,Chevrolet,Sail,2014,38000,Diesel,Manual,First Owner,22,530000,260000
Toyota Etios,Toyota,Etios,2015,120000,Diesel,Manual,First Owner,24,869000,475000
Ford Figo,Ford,Figo,2011,103000,Diesel,Manual,Third Owner,20,690000,302000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2017,80000,Diesel,Manual,First Owner,24,784000,775000
Maruti Ertiga,Maruti,Ertiga,2015,50000,Diesel,Manual,First Owner,21,969000,700000
Maruti Swift,Maruti,Swift,2014,90000,Diesel,Manual,First Owner,25,591000,530000
Tata Nexon Revotron,Tata,Nexon Revotron,2017,70000,Diesel,Manual,First Owner,22,1061323,869999
Tata Tiago Revotorq,Tata,Tiago Revotorq,2019,30000,Petrol,Automatic,First Owner,24,693000,550000
Maruti Swift Dzire,Maruti,Swift Dzire,2016,80000,Diesel,Manual,Second Owner,27,690000,600000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,110000,Diesel,Manual,Second Owner,19,690000,430000
Tata Manza,Tata,Manza,2010,120000,Diesel,Manual,First Owner,19,768000,246000
Hyundai i20 Asta,Hyundai,i20 Asta,2014,70000,Petrol,Manual,Second Owner,19,875000,565000
Hyundai Elite i20,Hyundai,Elite i20,2018,60000,Diesel,Manual,First Owner,23,658000,850000
Fiat Linea,Fiat,Linea,2014,142500,Diesel,Manual,First Owner,20,108200,325000
Mahindra Scorpio,Mahindra,Scorpio,2011,90000,Diesel,Manual,Third Owner,12,133000,450000
Hyundai i10,Hyundai,i10,2015,50000,Petrol,Manual,First Owner,20,707000,310000
Honda Amaze,Honda,Amaze,2013,90000,Diesel,Manual,Third Owner,26,634000,250000
Maruti Swift Dzire,Maruti,Swift Dzire,2015,115000,Diesel,Manual,Second Owner,27,690000,420000
Hyundai i20 Sportz,Hyundai,i20 Sportz,2013,150000,Petrol,Automatic,Second Owner,15,780000,330000
Maruti Swift,Maruti,Swift,2015,68000,Petrol,Manual,Second Owner,20,591000,405000
Mahindra Bolero,Mahindra,Bolero,2013,90000,Diesel,Manual,Second Owner,16,920000,400000
Honda City,Honda,City,2010,110000,Petrol,Automatic,Third Owner,16,113800,409999
Mahindra Bolero,Mahindra,Bolero,2013,70000,Diesel,Manual,Second Owner,16,920000,500000
Mahindra XUV 500,Mahindra,XUV 500,2011,80000,Diesel,Manual,Third Owner,15,149500,590000
Maruti Swift Dzire,Maruti,Swift Dzire,2018,35500,Diesel,Manual,First Owner,28,690000,650000
Maruti Wagon R,Maruti,Wagon R,2018,17500,Petrol,Manual,First Owner,21,690000,400000
Maruti Alto 800,Maruti,Alto 800,2017,27000,Petrol,Manual,First Owner,24,503000,350000
Hyundai Grand i10,Hyundai,Grand i10,2017,60000,Diesel,Manual,First Owner,24,707000,550000
Maruti Wagon R,Maruti,Wagon R,2016,25000,Petrol,Manual,First Owner,21,690000,350000
Maruti Swift Dzire,Maruti,Swift Dzire,2015,80000,Diesel,Manual,First Owner,27,690000,459999
Maruti Alto 800,Maruti,Alto 800,2012,60000,Petrol,Manual,Second Owner,20,503000,185000
Volkswagen Polo,Volkswagen,Polo,2013,38000,Diesel,Manual,First Owner,22,645000,550000
Maruti Wagon R,Maruti,Wagon R,2012,100000,CNG,Manual,Second Owner,26,690000,300000
Toyota Innova,Toyota,Innova,2011,110000,Diesel,Manual,First Owner,13,186300,900000
Mahindra Bolero,Mahindra,Bolero,2012,180000,Diesel,Manual,Third Owner,16,920000,550000
Maruti Beno,Maruti,Beno,2018,10000,Petrol,Manual,First Owner,21,949000,625000
Maruti Alto 800,Maruti,Alto 800,2017,35000,Petrol,Manual,Second Owner,25,503000,310000
Maruti Swift,Maruti,Swift,2017,35000,Diesel,Manual,First Owner,28,591000,500000
Hyundai Grand i10,Hyundai,Grand i10,2016,23000,Diesel,Manual,First Owner,24,707000,610000
Tata Indigo,Tata,Indigo,2012,150000,Diesel,Manual,Third Owner,19,566000,150000
Hyundai Xcent,Hyundai,Xcent,2015,70000,Diesel,Manual,First Owner,24,685000,480000
Hyundai i20,Hyundai,i20,2017,40000,Petrol,Manual,First Owner,19,698000,650000
Hyundai i20,Hyundai,i20,2012,100000,Diesel,Manual,Second Owner,22,698000,290000
Maruti Alto 800,Maruti,Alto 800,2017,50000,Petrol,Manual,Second Owner,25,503000,300000
Maruti Swift Dzire,Maruti,Swift Dzire,2010,120000,Diesel,Manual,Fourth & Above Owner,19,690000,270000
Hyundai Xcent,Hyundai,Xcent,2015,60000,Diesel,Manual,Second Owner,24,685000,400000
Maruti Alto 800,Maruti,Alto 800,2015,28000,Petrol,Manual,Second Owner,23,503000,280000
Maruti Swift Dzire,Maruti,Swift Dzire,2009,60000,Petrol,Manual,Third Owner,18,690000,250000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,80000,Diesel,Manual,Second Owner,19,690000,495000
Ford Endeavour,Ford,Endeavour,2018,12000,Diesel,Automatic,First Owner,11,292000,3250000
Honda Amaze,Honda,Amaze,2019,4500,Petrol,Manual,First Owner,20,634000,700000
Tata Indigo,Tata,Indigo,2013,70000,Diesel,Manual,First Owner,25,566000,310000
Renault Duster,Renault,Duster,2017,120000,Diesel,Manual,First Owner,20,101900,650000
Honda Jazz,Honda,Jazz,2015,80000,Petrol,Automatic,First Owner,19,796000,600000
Tata New Safari DICOR,Tata,New Safari DICOR,2009,150000,Diesel,Manual,Fourth & Above Owner,12,993000,150000
Maruti Swift Dzire,Maruti,Swift Dzire,2014,50000,Diesel,Manual,First Owner,23,690000,650000
Honda City,Honda,City,2012,83000,Petrol,Manual,First Owner,17,113800,550000
Maruti Swift Dzire,Maruti,Swift Dzire,2017,20000,Diesel,Manual,First Owner,28,690000,650000
Toyota Fortuner,Toyota,Fortuner,2018,49000,Diesel,Automatic,First Owner,13,541000,2900000
Honda Brio,Honda,Brio,2017,6750,Petrol,Manual,First Owner,19,566000,450000
Maruti Ciaz,Maruti,Ciaz,2015,26000,Petrol,Manual,First Owner,21,887000,650000
Hyundai Grand i10,Hyundai,Grand i10,2017,52000,Petrol,Manual,First Owner,17,707000,430000
Hyundai Creta,Hyundai,Creta,2017,51000,Diesel,Automatic,First Owner,17,102800,1143000
Maruti Swift,Maruti,Swift,2019,20000,Petrol,Automatic,First Owner,22,591000,700000
Maruti Ritz,Maruti,Ritz,2011,18500,Petrol,Manual,First Owner,19,525000,229999
Mahindra TUV 300,Mahindra,TUV 300,2017,142000,Diesel,Manual,First Owner,18,859000,509999
Ford EcoSport,Ford,EcoSport,2016,50478,Petrol,Manual,First Owner,16,961000,670000
Tata Tiago Revotorq,Tata,Tiago Revotorq,2019,9200,Petrol,Automatic,First Owner,24,693000,525000
Renault Duster,Renault,Duster,2016,40000,Diesel,Manual,First Owner,20,101900,515000
Maruti Beno,Maruti,Beno,2020,5000,Petrol,Manual,First Owner,21,949000,630000
Datsun RediGO,Datsun,RediGO,2019,2300,Petrol,Manual,First Owner,23,383000,270000
Maruti Alto 800,Maruti,Alto 800,2016,40000,Petrol,Manual,First Owner,23,503000,300000
Mahindra Xylo,Mahindra,Xylo,2012,119000,Diesel,Manual,First Owner,14,998000,250000
Maruti Ertiga,Maruti,Ertiga,2017,100000,Diesel,Manual,First Owner,25,969000,750000
Maruti Wagon R,Maruti,Wagon R,2009,50000,Petrol,Manual,Second Owner,19,690000,135000
Maruti Eeco,Maruti,Eeco,2013,80000,Petrol,Manual,Second Owner,15,535000,275000
Tata Nexon Revotron,Tata,Nexon Revotron,2018,15000,Petrol,Manual,First Owner,17,1061323,740000
Honda Amaze,Honda,Amaze,2019,1303,Petrol,Manual,First Owner,18,634000,690000
Audi Q5,Audi,Q5,2018,31800,Diesel,Automatic,First Owner,17,713400,3975000
Jaguar XF,Jaguar,XF,2017,45000,Diesel,Automatic,First Owner,19,716000,3200000
Hyundai Grand i10,Hyundai,Grand i10,2019,4701,Petrol,Manual,First Owner,21,707000,550000
Maruti Beno,Maruti,Beno,2016,6757,Petrol,Manual,First Owner,21,949000,600000
Skoda Rapid,Skoda,Rapid,2016,28182,Petrol,Automatic,First Owner,14,156000,675000
Honda City,Honda,City,2017,11688,Petrol,Manual,First Owner,18,113800,850000
Toyota Camry Hybrid,Toyota,Camry Hybrid,2016,68089,Petrol,Automatic,First Owner,19,514800,2000000
Toyota Corolla Altis,Toyota,Corolla Altis,2012,57728,Petrol,Automatic,First Owner,15,203600,550000
Maruti Ciaz,Maruti,Ciaz,2018,23712,Diesel,Manual,First Owner,28,887000,925000
Ford Ecosport,Ford,Ecosport,2015,70670,Petrol,Automatic,First Owner,17,961000,625000
Maruti Alto 800,Maruti,Alto 800,2014,43381,Petrol,Manual,Second Owner,23,503000,200000
Honda City,Honda,City,2014,79011,Petrol,Automatic,First Owner,18,113800,635000
Honda Jazz,Honda,Jazz,2016,56494,Petrol,Manual,First Owner,18,796000,550000
Maruti SX4,Maruti,SX4,2014,50000,Diesel,Manual,Second Owner,22,867000,425000
Maruti Wagon R,Maruti,Wagon R,2011,40000,Petrol,Manual,First Owner,19,690000,220000
Hyundai Grand i10,Hyundai,Grand i10,2018,10000,Petrol,Manual,First Owner,19,707000,590000
Mahindra Thar,Mahindra,Thar,2017,35000,Diesel,Manual,First Owner,17,131700,775000
Maruti Ritz,Maruti,Ritz,2015,58500,Petrol,Manual,First Owner,19,525000,350000
Maruti Beno,Maruti,Beno,2018,20000,Petrol,Manual,First Owner,21,949000,575000
Nissan Micra,Nissan,Micra,2011,43500,Petrol,Manual,Second Owner,18,778000,200000
Tata Hexa,Tata,Hexa,2018,30000,Diesel,Manual,First Owner,18,136900,1575000
Ford EcoSport,Ford,EcoSport,2015,63000,Diesel,Manual,First Owner,23,961000,600000
Mahindra Bolero,Mahindra,Bolero,2016,35000,Diesel,Manual,First Owner,16,920000,720000
Tata Indigo,Tata,Indigo,2012,110000,Diesel,Manual,Second Owner,19,566000,158000
Tata Hexa,Tata,Hexa,2018,25000,Diesel,Manual,First Owner,18,136900,1575000
Hyundai Xcent,Hyundai,Xcent,2017,30000,Petrol,Automatic,First Owner,17,685000,580000
Mahindra Bolero,Mahindra,Bolero,2012,50000,Diesel,Manual,First Owner,16,920000,420000
Renault KWID,Renault,KWID,2018,30000,Petrol,Manual,First Owner,23,449000,350000
Honda City,Honda,City,2014,56000,Petrol,Manual,First Owner,17,113800,650000
Maruti Wagon R,Maruti,Wagon R,2017,12700,Petrol,Manual,First Owner,21,690000,400000
Tata Nexon Revotron,Tata,Nexon Revotron,2018,35000,Diesel,Manual,First Owner,22,1061323,700000
Hyundai Xcent,Hyundai,Xcent,2017,30000,Petrol,Manual,First Owner,19,685000,520000
Mahindra Scorpio,Mahindra,Scorpio,2012,120000,Diesel,Manual,First Owner,12,133000,450000
Tata Safari,Tata,Safari,2017,100000,Diesel,Manual,First Owner,14,152000,850000
Renault KWID,Renault,KWID,2017,34000,Petrol,Manual,First Owner,25,449000,350000
Mahindra Xylo,Mahindra,Xylo,2011,56000,Diesel,Manual,First Owner,13,998000,450000
Hyundai Santro Xing,Hyundai,Santro Xing,2010,65000,Petrol,Manual,Second Owner,18,447000,160000
Tata New Safari DICOR,Tata,New Safari DICOR,2011,80000,Diesel,Manual,First Owner,14,993000,300000
Mahindra Scorpio,Mahindra,Scorpio,2012,90000,Diesel,Manual,Third Owner,12,133000,550000
Maruti Alto 800,Maruti,Alto 800,2015,40000,Petrol,Manual,First Owner,24,503000,285000
Hyundai Creta,Hyundai,Creta,2016,58000,Diesel,Manual,First Owner,20,102800,850000
Ford Freestyle,Ford,Freestyle,2018,19100,Petrol,Manual,First Owner,19,728000,700000
Maruti Ertiga,Maruti,Ertiga,2018,25000,Petrol,Manual,First Owner,19,969000,900000
Hyundai EON,Hyundai,EON,2016,100000,Petrol,Manual,First Owner,21,450000,220000
Tata Indica Vista,Tata,Indica Vista,2013,120000,Diesel,Manual,First Owner,22,611000,120000
Hyundai i20 Asta,Hyundai,i20 Asta,2010,90000,Petrol,Manual,Fourth & Above Owner,17,875000,220000
Chevrolet Sail,Chevrolet,Sail,2013,46815,Diesel,Manual,Second Owner,22,530000,420000
Tata Indica Vista,Tata,Indica Vista,2013,110000,Diesel,Manual,First Owner,19,611000,160000
Hyundai EON,Hyundai,EON,2015,80000,Petrol,Manual,First Owner,21,450000,250000
Maruti Ertiga,Maruti,Ertiga,2013,100000,Diesel,Manual,Third Owner,21,969000,385000
Maruti Wagon R,Maruti,Wagon R,2014,80000,Petrol,Manual,First Owner,21,690000,318000
Hyundai Xcent,Hyundai,Xcent,2018,40000,Petrol,Manual,First Owner,20,685000,480000
